,Country,Language,Year,Value
2225,Australia,Punjabi,2001,986.0
2226,Australia,Romanian,2001,338.0
2227,Australia,Russian,2001,799.0
2233,Australia,Spanish,2001,1889.0
2235,Australia,Tamil,2001,100.0
2236,Australia,Telugu,2001,9.0
2237,Australia,Thai,2001,491.0
2240,Australia,Ukrainian,2001,396.0
2241,Australia,Urdu,2001,129.0
2256,Australia,Arabic,2001,1377.0
2260,Australia,Bengali,2001,32.0
2266,Australia,Czech,2001,259.0
2268,Australia,English,2001,1125073.0
2271,Australia,French,2001,1265.0
2272,Australia,German,2001,4951.0
2274,Australia,Gujarati,2001,19.0
2277,Australia,Hindi,2001,221.0
2279,Australia,Hungarian,2001,637.0
2280,Australia,Indonesian,2001,319.0
2283,Australia,Khmer,2001,228.0
2290,Australia,Malayalam,2001,9.0
2294,Australia,Marathi,2001,7.0
2295,Australia,Nepali,2001,7.0
2301,Australia,Polish,2001,827.0
2303,Australia,Punjabi,2001,549.0
2304,Australia,Romanian,2001,186.0
2305,Australia,Russian,2001,360.0
2311,Australia,Spanish,2001,978.0
2313,Australia,Tamil,2001,54.0
2314,Australia,Telugu,2001,6.0
2315,Australia,Thai,2001,185.0
2318,Australia,Ukrainian,2001,198.0
2319,Australia,Urdu,2001,76.0
2334,Australia,Arabic,2001,1047.0
2338,Australia,Bengali,2001,25.0
2344,Australia,Czech,2001,217.0
2346,Australia,English,2001,1042956.0
2349,Australia,French,2001,1293.0
2350,Australia,German,2001,5021.0
2352,Australia,Gujarati,2001,17.0
2355,Australia,Hindi,2001,235.0
2357,Australia,Hungarian,2001,602.0
2358,Australia,Indonesian,2001,370.0
2361,Australia,Khmer,2001,187.0
2368,Australia,Malayalam,2001,7.0
2372,Australia,Marathi,2001,3.0
2373,Australia,Nepali,2001,5.0
2379,Australia,Polish,2001,758.0
